,link,download
64,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3875-bai-so-6.html,
65,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/3764-bai-so-6.html,
66,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3892-bai-so-9.html,
67,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3870-bai-so-1.html,
68,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3884-bai-so-1.html,
69,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3889-bai-so-6.html,
70,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3872-bai-so-3.html,
71,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3873-bai-so-4.html,
72,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3874-bai-so-5.html,
73,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1146-bai-so-4.html,
74,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3871-bai-so-2.html,
75,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3879-bai-so-10.html,
76,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/1188-bai-so-4.html,
77,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1148-bai-so-6.html,
78,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1147-bai-so-5.html,
79,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/1187-bai-so-3.html,
80,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3878-bai-so-9.html,
81,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/3763-bai-so-5.html,
82,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/3758-bai-so-10.html,
83,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/3756-bai-so-8.html,
84,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/3757-bai-so-9.html,
85,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/3755-bai-so-7.html,
86,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3876-bai-so-7.html,
87,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3885-bai-so-2.html,
88,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1145-bai-so-3.html,
89,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3890-bai-so-7.html,
90,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1144-bai-so-2.html,
